"ORIGINAL"	"DBFIELD"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyName.Name"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyName.Name"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyName.Name"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.PartyIdentification.ID"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyIdentification.ID"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyIdentification.ID"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyIdentification.ID"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyIdentification.ID"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyIdentification.ID"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"
"ContractFolderStatus.TenderingProcess.DocumentAvailabilityPeriod.EndDate"	"Plazo_de_Obtencion_de_Pliegos/Fecha"
"ContractFolderStatus.TenderingProcess.DocumentAvailabilityPeriod.EndTime"	"Plazo_de_Obtencion_de_Pliegos/Hora"
"ContractFolderStatus.TenderingProcess.TenderSubmissionDeadlinePeriod.EndDate"	"Plazo_de_Presentacion_de_Oferta/Fecha"
"ContractFolderStatus.TenderingProcess.TenderSubmissionDeadlinePeriod.EndTime"	"Plazo_de_Presentacion_de_Oferta/Hora"
"ContractFolderStatus.TenderingProcess.TenderSubmissionDeadlinePeriod.Description"	"Plazo_de_Presentacion_de_Oferta/Observaciones"
"ContractFolderStatus.TenderingProcess.TenderSubmissionDeadlinePeriod"	"Plazo_de_Presentacion_de_Oferta/Plazo_de_Presentacion_de_Oferta"
"ContractFolderStatus.TenderingProcess.ParticipationRequestReceptionPeriod.EndDate"	"Plazo_de_Presentacion_de_Solicitudes/Fecha"
"ContractFolderStatus.TenderingProcess.ParticipationRequestReceptionPeriod.EndTime"	"Plazo_de_Presentacion_de_Solicitudes/Hora"
"ContractFolderStatus.TenderingProcess.ParticipationRequestReceptionPeriod.Description"	"Plazo_de_Presentacion_de_Solicitudes/Observaciones"
"ContractFolderStatus.ProcurementProject.ContractExtension.OptionsDescription"	"Extension_de_Contrato/Opciones"
"ContractFolderStatus.ProcurementProject.ContractExtension.OptionValidityPeriod.Description"	"Extension_de_Contrato/Periodo_de_Validez_de_las_Opciones"
"ContractFolderStatus.TenderingTerms.RequiredCurriculaIndicator"	"Condiciones_de_Licitacion/Especificar_Personal_y_Cualificacion_Profesional/CCVV"
"ContractFolderStatus.TenderingTerms.VariantConstraintIndicator"	"Condiciones_de_Licitacion/Admision_de_Variantes"
"ContractFolderStatus.TenderingTerms.PriceRevisionFormulaDescription"	"Condiciones_de_Licitacion/Formula_de_Revision_de_Precios"
"ContractFolderStatus.TenderingTerms.FundingProgram"	"Condiciones_de_Licitacion/Programas_de_Financiacion"
"ContractFolderStatus.TenderingTerms.FundingProgramCode"	"Condiciones_de_Licitacion/Descripcion_de_Programas_de_Financiacion"
